Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-32.76684577,0.00065535,100000
,,,
Data,,,
Channel 0 (PXI1Slot5/0),,,
0.101707457,3.748602,,
0.101818543,3.74925735,,
0.102012944,3.7499127,,
0.102012944,3.75056805,,
0.101290883,3.7512234,,
0.101707457,3.75187875,,
0.101679685,3.7525341,,
0.101763,3.75318945,,
0.101040939,3.7538448,,
0.101485284,3.75450015,,
0.101374198,3.7551555,,
0.101429741,3.75581085,,
0.101374198,3.7564662,,
0.101651913,3.75712155,,
0.101401969,3.7577769,,
0.101179797,3.75843225,,
0.101513056,3.7590876,,
0.100957624,3.75974295,,
0.101401969,3.7603983,,
0.101457512,3.76105365,,
0.101485284,3.761709,,
0.101374198,3.76236435,,
0.101124253,3.7630197,,
0.101485284,3.76367505,,
0.101485284,3.7643304,,
0.10159637,3.76498575,,
0.101346426,3.7656411,,
0.101429741,3.76629645,,
0.101679685,3.7669518,,
0.101207568,3.76760715,,
0.101290883,3.7682625,,
0.101401969,3.76891785,,
0.101263111,3.7695732,,
0.101374198,3.77022855,,
0.101040939,3.7708839,,
0.101013167,3.77153925,,
0.101124253,3.7721946,,
0.101846314,3.77284995,,
0.101374198,3.7735053,,
0.101346426,3.77416065,,
0.101401969,3.774816,,
0.101651913,3.77547135,,
0.101568599,3.7761267,,
0.101457512,3.77678205,,
0.10123534,3.7774374,,
0.101318654,3.77809275,,
0.101485284,3.7787481,,
0.100957624,3.77940345,,
0.101096482,3.7800588,,
0.101346426,3.78071415,,
0.10123534,3.7813695,,
0.101263111,3.78202485,,
0.101318654,3.7826802,,
0.101429741,3.78333555,,
0.10123534,3.7839909,,
0.101735228,3.78464625,,
0.101540827,3.7853016,,
0.101096482,3.78595695,,
0.101040939,3.7866123,,
0.100846538,3.78726765,,
0.101040939,3.787923,,
0.100957624,3.78857835,,
0.100846538,3.7892337,,
0.101318654,3.78988905,,
0.101457512,3.7905444,,
0.10159637,3.79119975,,
0.101401969,3.7918551,,
0.101290883,3.79251045,,
0.101207568,3.7931658,,
0.10123534,3.79382115,,
0.100679908,3.7944765,,
0.10070768,3.79513185,,
0.101263111,3.7957872,,
0.10070768,3.79644255,,
0.10106871,3.7970979,,
0.101152025,3.79775325,,
0.101485284,3.7984086,,
0.101179797,3.79906395,,
0.101124253,3.7997193,,
0.101485284,3.80037465,,
0.101457512,3.80103,,
0.100846538,3.80168535,,
0.100790994,3.8023407,,
0.101374198,3.80299605,,
0.101013167,3.8036514,,
0.100874309,3.80430675,,
0.101040939,3.8049621,,
0.10106871,3.80561745,,
0.10123534,3.8062728,,
0.101346426,3.80692815,,
0.101152025,3.8075835,,
0.101318654,3.80823885,,
0.101013167,3.8088942,,
0.101346426,3.80954955,,
0.10106871,3.8102049,,
0.101040939,3.81086025,,
0.100929852,3.8115156,,
0.100735451,3.81217095,,
0.101318654,3.8128263,,
0.100929852,3.81348165,,
0.100513279,3.814137,,
0.101013167,3.81479235,,
0.101485284,3.8154477,,
0.100929852,3.81610305,,
0.100568822,3.8167584,,
0.101374198,3.81741375,,
0.10123534,3.8180691,,
0.100957624,3.81872445,,
0.100485507,3.8193798,,
0.101290883,3.82003515,,
0.101152025,3.8206905,,
0.10106871,3.82134585,,
0.100374421,3.8220012,,
