	Meta data			
	Physical channel	 Start Time	 Sample Interval	 Sample Count
	Channel 0 (PXI1Slot5/0)	-0.48993584	0.00000704	100000
	Channel 1 (PXI1Slot5/1)	-0.48993584	0.00000704	100000
				
	Data			
Time	Channel 0 (PXI1Slot5/0)	 Channel 1 (PXI1Slot5/1)		
0.00039424	-0.025843765	0.940889049		
0.00040128	-0.026954765	0.940341655		
0.00040832	-0.027232515	0.940341655		
0.00041536	-0.024732765	0.940615352		
0.0004224	-0.026121515	0.940067958		
0.00042944	-0.023621765	0.940889049		
0.00043648	-0.025843765	0.940067958		
0.00044352	-0.025566015	0.938152078		
0.00045056	-0.028343515	0.942257535		
0.0004576	-0.027788015	0.939246867		
0.00046464	-0.025843765	0.941436444		
0.00047168	-0.025566015	0.941436444		
0.00047872	-0.025843765	0.939794261		
0.00048576	-0.024177265	0.941162746		
0.0004928	-0.025010515	0.939794261		
0.00049984	-0.026399265	0.935962501		
0.00050688	-0.025843765	0.939246867		
0.00051392	-0.027788015	0.938425775		
0.00052096	-0.025843765	0.940341655		
0.000528	-0.026954765	0.940341655		
0.00053504	-0.026399265	0.941162746		
0.00054208	-0.025566015	0.940889049		
0.00054912	-0.026121515	0.938699472		
0.00055616	-0.026677015	0.939520564		
0.0005632	-0.026677015	0.940615352		
0.00057024	-0.024732765	0.939794261		
0.00057728	-0.024732765	0.940341655		
0.00058432	-0.025843765	0.939246867		
0.00059136	-0.025010515	0.941436444		
0.0005984	-0.026121515	0.941436444		
0.00060544	-0.027510265	0.940067958		
0.00061248	-0.027232515	0.944447112		
0.00061952	-0.025566015	0.941162746		
0.00062656	-0.028065765	0.941710141		
0.0006336	-0.025843765	0.940341655		
0.00064064	-0.025566015	0.940341655		
0.00064768	-0.025010515	0.941436444		
0.00065472	-0.026121515	0.940615352		
0.00066176	-0.025288265	0.940341655		
0.0006688	-0.025843765	0.941436444		
0.00067584	-0.025843765	0.940341655		
0.00068288	-0.024732765	0.941162746		
0.00068992	-0.026399265	0.938973169		
0.00069696	-0.024732765	0.939520564		
0.000704	-0.025843765	0.938973169		
0.00071104	-0.025566015	0.940341655		
0.00071808	-0.024732765	0.940341655		
0.00072512	-0.025843765	0.939246867		
0.00073216	-0.025843765	0.937878381		
0.0007392	-0.025566015	0.940067958		
0.00074624	-0.025566015	0.939520564		
0.00075328	-0.024455015	0.938699472		
0.00076032	-0.024177265	0.940067958		
0.00076736	-0.028621265	0.944447112		
0.0007744	-0.028065765	0.943352324		
0.00078144	-0.025288265	0.939794261		
0.00078848	-0.028899015	0.942531232		
0.00079552	-0.026677015	0.940067958		
0.00080256	-0.026399265	0.939794261		
0.0008096	-0.026677015	0.939794261		
0.00081664	-0.025288265	0.940889049		
0.00082368	-0.023899515	0.941710141		
0.00083072	-0.028065765	0.937330987		
0.00083776	-0.026121515	0.940615352		
0.0008448	-0.026954765	0.939246867		
0.00085184	-0.024177265	0.939520564		
0.00085888	-0.026954765	0.940889049		
0.00086592	-0.024455015	0.940067958		
0.00087296	-0.026399265	0.940341655		
0.00088	-0.027788015	0.938973169		
0.00088704	-0.023344015	0.934867712		
0.00089408	-0.025566015	0.940615352		
0.00090112	-0.025566015	0.939520564		
0.00090816	-0.024455015	0.941983838		
0.0009152	-0.026121515	0.939520564		
0.00092224	-0.024177265	0.939520564		
0.00092928	-0.026399265	0.938152078		
0.00093632	-0.025843765	0.938699472		
0.00094336	-0.027232515	0.939246867		
0.0009504	-0.025288265	0.940341655		
0.00095744	-0.026399265	0.939520564		
0.00096448	-0.025843765	0.938973169		
0.00097152	-0.026954765	0.939520564		
0.00097856	-0.025288265	0.940889049		
0.0009856	-0.025010515	0.941162746		
0.00099264	-0.027510265	0.938699472		
0.00099968	-0.025566015	0.940889049		
0.00100672	-0.025288265	0.938699472		
0.00101376	-0.026954765	0.941983838		
0.0010208	-0.027232515	0.939246867		
0.00102784	-0.025843765	0.940341655		
0.00103488	-0.025566015	0.938699472		
0.00104192	-0.024732765	0.939794261		
0.00104896	-0.023344015	0.935141409		
0.001056	-0.026677015	0.940889049		
0.00106304	-0.025010515	0.940889049		
0.00107008	-0.027232515	0.938699472		
0.00107712	-0.025010515	0.939520564		
0.00108416	-0.025288265	0.940067958		
0.0010912	-0.025843765	0.939246867		
0.00109824	-0.025566015	0.939246867		
0.00110528	-0.027232515	0.940341655		
0.00111232	-0.026121515	0.939520564		
0.00111936	-0.026677015	0.939794261		
0.0011264	-0.026121515	0.940067958		
0.00113344	-0.025566015	0.940067958		
0.00114048	-0.026399265	0.938152078		
0.00114752	-0.026677015	0.938973169		
0.00115456	-0.026399265	0.941983838		
0.0011616	-0.026399265	0.939520564		
0.00116864	-0.024455015	0.938699472		
0.00117568	-0.026399265	0.939520564		
0.00118272	-0.025288265	0.940341655		
0.00118976	-0.026121515	0.940067958		
0.0011968	-0.026399265	0.941162746		
0.00120384	-0.025288265	0.940341655		
0.00121088	-0.025566015	0.937330987		
0.00121792	-0.026121515	0.938699472		
0.00122496	-0.025010515	0.939520564		
0.001232	-0.026121515	0.940341655		
0.00123904	-0.025843765	0.941436444		
0.00124608	-0.025843765	0.940067958		
0.00125312	-0.025843765	0.942531232		
0.00126016	-0.026677015	0.939794261		
0.0012672	-0.024732765	0.941983838		
0.00127424	-0.026399265	0.940615352		
0.00128128	-0.027232515	0.940341655		
0.00128832	-0.023899515	0.938699472		
0.00129536	-0.025843765	0.940889049		
0.0013024	-0.025288265	0.940341655		
0.00130944	-0.026954765	0.937878381		
0.00131648	-0.025010515	0.941710141		
0.00132352	-0.025566015	0.943078626		
0.00133056	-0.026121515	0.940341655		
0.0013376	-0.025566015	0.939520564		
0.00134464	-0.026677015	0.939520564		
0.00135168	-0.024455015	0.939794261		
0.00135872	-0.022788515	0.940341655		
0.00136576	-0.026677015	0.940067958		
0.0013728	-0.026121515	0.941710141		
0.00137984	-0.026677015	0.938699472		
0.00138688	-0.024177265	0.939794261		
0.00139392	-0.025010515	0.940615352		
0.00140096	-0.026677015	0.940341655		
0.001408	-0.026121515	0.941710141		
0.00141504	-0.027232515	0.938973169		
0.00142208	-0.025843765	0.940615352		
